grid_id,date,ndvi_mean,ndvi_std,ndbi_mean,ndbi_std,bu_mean,bu_std,ndwi_mean,ndwi_std,built_frac,ndvi_contrast,ndvi_homogeneity,ndvi_entropy,ndbi_contrast,ndbi_homogeneity,ndbi_entropy,DoU_cluster,DoU_label
53,2018-11-04,0.1333760647212271,0.102457727112405,-0.1697547260536275,0.0767456685088791,-0.0360485428769321,0.1187004114624309,0.1697547260536275,0.0767456685088791,0.0217171717171717,94.64003673094584,0.210876100847665,11.483660062604091,82.62860932557899,0.2007914237874613,11.180757922043066,2,semi
54,2018-11-04,0.178422692261547,0.047349119596252,-0.120828263161294,0.0451707712207559,0.0587735974171168,0.0619083481887601,0.120828263161294,0.0451707712207559,0.0045454545454545,67.1285583103765,0.1816594975750091,11.42402034876346,89.84011835526987,0.2031766270083894,11.363867954344556,2,semi
55,2018-11-04,0.1465161299959432,0.028410955010052,-0.117978008351752,0.0273702501018056,0.0290181392213162,0.0420743019404292,0.117978008351752,0.0273702501018056,0.0,153.79473985134362,0.1404157283608858,11.587886347229237,174.0754716981132,0.1747305645153069,11.423069258149257,2,semi
56,2018-11-04,0.1555598896274307,0.0375271447215204,-0.1943540327674811,0.0214383004194587,-0.0397919597661925,0.0424350180519887,0.1943540327674811,0.0214383004194587,0.0,82.47646679561572,0.205483512066599,10.951931249528284,133.54330539436924,0.244730981679015,9.982741431039567,2,semi
57,2018-11-04,0.1228468814970957,0.0220847243428205,-0.2109086127370524,0.0237456511135553,-0.0904005862944792,0.0286952449511947,0.2109086127370524,0.0237456511135553,0.0,112.26692456479692,0.2212246280633921,10.546057224995682,211.24693745970345,0.2633832218997276,10.22598125690217,2,semi
58,2018-11-04,0.1152352834645533,0.0146036759173471,-0.1936657739274249,0.0246488534335935,-0.0802398601698113,0.032583253850208,0.1936657739274249,0.0246488534335935,0.0,255.48162475822053,0.2548548849575109,9.733304560903676,78.85278315065548,0.357874540365889,9.179891209419056,2,semi
59,2018-11-04,0.1366047654749541,0.0303713309499521,-0.1699512372777289,0.0383246512931389,-0.0342393878248331,0.0338906146782011,0.1699512372777289,0.0383246512931389,0.0,175.59166129378892,0.1874187612716159,10.88484684608888,165.71781646249732,0.247430705072817,10.879733599371232,2,semi
60,2018-11-04,0.1996986358685985,0.0540766971750459,-0.1770047964550686,0.0596815792733612,0.0234378893291452,0.0576675192000298,0.1770047964550686,0.0596815792733612,0.0023148148148148,79.74683000214915,0.1795687007351727,11.043280264988796,135.5865033311842,0.1867573213936431,11.30722431277428,2,semi
61,2018-11-04,0.1505379868449952,0.0711195225320272,-0.1543646952206767,0.0533652091139132,-0.0035392248231581,0.0806702381679085,0.1543646952206767,0.0533652091139132,0.0018939393939393,96.7496238985601,0.1682466103852099,11.466522781130148,298.1770900494305,0.1413398821285415,11.82092298174366,2,semi
62,2018-11-04,0.2239915566921545,0.0451065895940702,-0.1670503162441751,0.0417303161709694,0.0592128974076442,0.0495118255419548,0.1670503162441751,0.0417303161709694,0.0,97.6507629486353,0.1713738150288713,11.257962589637923,161.642166344294,0.2170061545600577,10.929248656606507,2,semi
63,2018-11-04,0.1844880239182066,0.0342644992952111,-0.1554954746627327,0.0434143816125391,0.0297234153232047,0.0390120302844202,0.1554954746627327,0.0434143816125391,0.0,177.94901645925324,0.1539950554604225,10.758791779669474,266.2982737856283,0.1921458763933778,11.005842688801112,2,semi
